fastq	fastq_r2	subpool	sample	plate	lane	run	platform	droplets_included	learning_rate	expected_cells
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_12_S11_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_12_S11_L001_R2_001.fastq.gz	Subpool_UDI12	S11	igvf_013	L001	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_12_S11_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_12_S11_L002_R2_001.fastq.gz	Subpool_UDI12	S11	igvf_013	L002	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_12_S11_L003_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_12_S11_L003_R2_001.fastq.gz	Subpool_UDI12	S11	igvf_013	L003	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_12_S11_L004_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_12_S11_L004_R2_001.fastq.gz	Subpool_UDI12	S11	igvf_013	L004	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_13_S12_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_13_S12_L001_R2_001.fastq.gz	Subpool_UDI13	S12	igvf_013	L001	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_13_S12_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_13_S12_L002_R2_001.fastq.gz	Subpool_UDI13	S12	igvf_013	L002	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_13_S12_L003_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_13_S12_L003_R2_001.fastq.gz	Subpool_UDI13	S12	igvf_013	L003	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_13_S12_L004_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_13_S12_L004_R2_001.fastq.gz	Subpool_UDI13	S12	igvf_013	L004	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_14_S13_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_14_S13_L001_R2_001.fastq.gz	Subpool_UDI14	S13	igvf_013	L001	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_14_S13_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_14_S13_L002_R2_001.fastq.gz	Subpool_UDI14	S13	igvf_013	L002	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_14_S13_L003_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_14_S13_L003_R2_001.fastq.gz	Subpool_UDI14	S13	igvf_013	L003	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_14_S13_L004_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_14_S13_L004_R2_001.fastq.gz	Subpool_UDI14	S13	igvf_013	L004	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_15_S14_L001_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_15_S14_L001_R2_001.fastq.gz	Subpool_UDI15	S14	igvf_013	L001	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_15_S14_L002_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_15_S14_L002_R2_001.fastq.gz	Subpool_UDI15	S14	igvf_013	L002	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_15_S14_L003_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_15_S14_L003_R2_001.fastq.gz	Subpool_UDI15	S14	igvf_013	L003	1	nova	200000	0.00005	67000
/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_15_S14_L004_R1_001.fastq.gz	/dfs7/samlab/seyedam/IGVF/igvf_013/nova1/Sublibrary_15_S14_L004_R2_001.fastq.gz	Subpool_UDI15	S14	igvf_013	L004	1	nova	200000	0.00005	67000
